[?1034hMRR : 0.579	
P@1 : 0.413	
0.27871191793549	0.031662195920944	
0.28081275827163	0.036108992993832	
0.3319332064509	0.0016004778444767	
0.34593880869179	0.015557512640953	
0.35574273026042	0.020418900996447	
0.36834777227723	0.020774576812983	
0.37465029328563	0.027536131441593	
0.38655505519039	0.035569671541452	
0.38725533530244	0.054164700210094	
0.39075673586266	0.020573824644089	
0.40406205799151	0.030552309006453	
0.41806766023241	0.021166630089283	
0.42156906079263	0.028474651277065	
0.43417410280944	0.030919644981623	
0.44747942493829	0.021518558263779	
0.46428614762737	0.021891087293625	
0.47128894874782	0.027661565691233	
0.50210127367779	0.020718932151794	
0.50910407479824	0.02001491561532	
0.52310967703913	0.024148482829332	
0.52380995715118	0.021863207221031	
0.53151303838367	0.04297386482358	
0.53571471905594	0.03322846069932	
